"title","title_type","genre","runtime","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_win","best_actor_win","best_actress_win","best_dir_win"
"Filly Brown","Feature Film","Drama",80,5.5,899,"Rotten",45,"Upright",73,"no","no","no","no"
"The Dish","Feature Film","Drama",101,7.3,12285,"Certified Fresh",96,"Upright",81,"no","no","no","no"
"Waiting for Guffman","Feature Film","Comedy",84,7.6,22381,"Certified Fresh",91,"Upright",91,"no","no","no","no"
"The Age of Innocence","Feature Film","Drama",139,7.2,35096,"Certified Fresh",80,"Upright",76,"no","yes","no","yes"
"Malevolence","Feature Film","Horror",90,5.1,2386,"Rotten",33,"Spilled",27,"no","no","no","no"
"Old Partner","Documentary","Documentary",78,7.8,333,"Fresh",91,"Upright",86,"no","no","no","no"
"Lady Jane","Feature Film","Drama",142,7.2,5016,"Rotten",57,"Upright",76,"no","no","no","no"
"Mad Dog Time","Feature Film","Drama",93,5.5,2272,"Rotten",17,"Spilled",47,"no","yes","no","no"
"Beauty Is Embarrassing","Documentary","Documentary",88,7.5,880,"Fresh",90,"Upright",89,"no","no","no","no"
"The Snowtown Murders","Feature Film","Drama",119,6.6,12496,"Certified Fresh",83,"Upright",66,"no","no","no","no"
"Superman II","Feature Film","Action & Adventure",127,6.8,71979,"Certified Fresh",89,"Upright",75,"no","yes","no","no"
"Leap of Faith","Feature Film","Drama",108,6,9669,"Fresh",67,"Spilled",46,"no","no","no","no"
"The Royal Tenenbaums","Feature Film","Comedy",110,7.6,201779,"Certified Fresh",80,"Upright",89,"no","yes","yes","no"
"School for Scoundrels","Feature Film","Comedy",100,5.9,25808,"Rotten",25,"Spilled",53,"no","no","no","no"
"Rhinestone","Feature Film","Comedy",111,3.6,5544,"Rotten",15,"Spilled",36,"no","no","no","no"
"Burn After Reading","Feature Film","Drama",96,7,240033,"Certified Fresh",78,"Upright",64,"no","no","yes","yes"
"The Doors","Feature Film","Drama",140,7.2,66489,"Rotten",54,"Upright",80,"no","no","no","yes"
"The Wood","Feature Film","Drama",106,6.9,6336,"Fresh",61,"Upright",92,"no","no","no","no"
"Jason X","Feature Film","Horror",91,4.4,37769,"Rotten",19,"Spilled",24,"no","no","no","no"
"Dragon Wars","Feature Film","Drama",90,3.6,21268,"Rotten",29,"Spilled",19,"no","no","no","no"
"Fallen","Feature Film","Drama",124,7,56201,"Rotten",40,"Upright",73,"no","yes","no","no"
"The Gleaners and I","Documentary","Documentary",82,7.6,3459,"Fresh",92,"Upright",86,"no","no","no","no"
"Tamara Drewe","Feature Film","Drama",107,6.2,16717,"Fresh",66,"Spilled",42,"no","no","no","no"
"Not Without My Daughter","Feature Film","Drama",116,6.2,9357,"Rotten",47,"Upright",71,"no","no","yes","no"
"The Yes Men Fix the World","Documentary","Documentary",87,7.6,4541,"Certified Fresh",79,"Upright",77,"no","no","no","no"
"Oh, God! You Devil","Feature Film","Comedy",97,5.3,1816,"Rotten",40,"Spilled",41,"no","no","no","no"
"Meet Joe Black","Feature Film","Drama",178,7.1,163490,"Rotten",51,"Upright",81,"no","yes","no","no"
"The Bay","Feature Film","Horror",84,5.6,19285,"Certified Fresh",77,"Spilled",43,"no","no","no","yes"
"Scandal","Feature Film","Art House & International",115,6.4,3688,"Fresh",91,"Upright",61,"no","no","no","no"
"Imagine: John Lennon","Documentary","Musical & Performing Arts",100,7.9,3488,"Fresh",92,"Upright",91,"no","no","no","no"
"Locke","Feature Film","Mystery & Suspense",85,7.1,82851,"Certified Fresh",91,"Upright",71,"no","no","no","no"
"The Spongebob Squarepants Movie","Feature Film","Animation",87,7,56128,"Fresh",68,"Upright",77,"no","no","no","no"
"The Muppet Christmas Carol","Feature Film","Science Fiction & Fantasy",85,7.7,33101,"Fresh",69,"Upright",85,"no","no","no","no"
"Die Hard 2","Feature Film","Mystery & Suspense",124,7.1,259822,"Fresh",69,"Upright",70,"no","no","no","no"
"The Reckoning","Feature Film","Documentary",112,6.6,4908,"Rotten",40,"Spilled",57,"no","no","no","no"
"Alice in Wonderland","Feature Film","Action & Adventure",108,6.5,290356,"Rotten",52,"Spilled",55,"no","no","no","no"
"I'm Not There","Feature Film","Drama",135,7,47297,"Certified Fresh",76,"Upright",70,"no","no","yes","no"
"Three Wishes","Feature Film","Drama",115,6.1,2145,"Rotten",13,"Spilled",51,"no","no","no","no"
"Aliens","Feature Film","Action & Adventure",137,8.4,466400,"Certified Fresh",98,"Upright",94,"no","no","no","yes"
"Driving Miss Daisy","Feature Film","Drama",99,7.4,69338,"Certified Fresh",81,"Upright",81,"yes","no","yes","no"
"Max","Feature Film","Drama",106,6.6,6228,"Fresh",69,"Upright",64,"no","no","no","no"
"Serpico","Feature Film","Drama",130,7.8,75468,"Fresh",90,"Upright",88,"no","yes","no","no"
"Basic","Feature Film","Drama",98,6.5,48519,"Rotten",21,"Upright",64,"no","no","no","no"
"The Guru","Feature Film","Comedy",94,5.4,13523,"Rotten",57,"Spilled",40,"no","no","no","no"
"The Color Purple","Feature Film","Drama",154,7.8,58668,"Fresh",88,"Upright",94,"no","no","no","yes"
"The Dream Team","Feature Film","Comedy",113,6.5,9654,"Rotten",54,"Upright",62,"no","no","no","no"
"The Man Without a Face","Feature Film","Drama",115,6.7,22079,"Fresh",67,"Upright",64,"no","no","no","yes"
"The White Countess","Feature Film","Drama",135,6.7,5258,"Rotten",50,"Spilled",49,"no","no","no","no"
"Viva Knievel!","Feature Film","Drama",106,2.7,761,"Rotten",17,"Spilled",17,"no","no","no","no"
"Rising Sun","Feature Film","Drama",125,6.2,33839,"Rotten",35,"Spilled",40,"no","no","no","no"
"Mojados: Through the Night","Documentary","Documentary",65,7.3,183,"Fresh",73,"Upright",88,"no","no","no","no"
"Seven Pounds","Feature Film","Drama",123,7.7,225130,"Rotten",27,"Upright",75,"no","no","no","no"
"The Mothman Prophecies","Feature Film","Mystery & Suspense",119,6.5,62241,"Rotten",52,"Spilled",56,"no","no","no","no"
"Breaking and Entering","Feature Film","Drama",120,6.6,19714,"Rotten",34,"Spilled",52,"no","no","no","yes"
"The English Patient","Feature Film","Drama",162,7.4,137126,"Certified Fresh",84,"Upright",83,"yes","yes","no","yes"
"Heaven & Earth","Feature Film","Drama",140,6.8,10468,"Rotten",44,"Upright",72,"no","no","no","yes"
"The Last Kiss","Feature Film","Drama",115,6.5,37770,"Rotten",46,"Spilled",59,"no","no","no","no"
"Three of Hearts","Feature Film","Drama",102,5.5,1628,"Rotten",56,"Spilled",38,"no","no","no","no"
"The Tortured","Feature Film","Mystery & Suspense",79,5.5,5587,"Rotten",6,"Spilled",35,"no","no","no","no"
"The Package","Feature Film","Mystery & Suspense",108,6.4,6247,"Fresh",64,"Spilled",43,"no","yes","no","no"
"Happy, Texas","Feature Film","Comedy",98,6.3,8646,"Certified Fresh",81,"Spilled",54,"no","no","no","no"
"Then She Found Me","Feature Film","Drama",100,6,8320,"Rotten",50,"Spilled",44,"no","yes","yes","no"
"Promises","Documentary","Documentary",106,8.5,2362,"Certified Fresh",96,"Upright",96,"no","no","no","no"
"Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers","Documentary","Documentary",92,7.8,1942,"Certified Fresh",96,"Upright",89,"no","no","no","no"
"The Recruit","Feature Film","Mystery & Suspense",115,6.6,110238,"Rotten",43,"Spilled",58,"no","yes","no","no"
"Alvin and the Chipmunks: Chipwrecked","Feature Film","Animation",87,4.4,21501,"Rotten",12,"Spilled",52,"no","no","no","no"
"The Thin Blue Line","Documentary","Documentary",103,8.1,14359,"Fresh",100,"Upright",90,"no","no","no","no"
"The Cotton Club","Feature Film","Musical & Performing Arts",127,6.5,12450,"Fresh",75,"Spilled",55,"no","no","no","yes"
"Lord of the Flies","Feature Film","Drama",90,6.4,21704,"Fresh",63,"Spilled",52,"no","no","no","no"
"Same Time, Next Year","Feature Film","Drama",119,7.2,4375,"Rotten",40,"Upright",85,"no","no","yes","no"
"Proof of Life","Feature Film","Drama",135,6.2,48324,"Rotten",40,"Spilled",43,"no","yes","no","no"
"Waking Up in Reno","Feature Film","Comedy",91,5.5,4768,"Rotten",13,"Spilled",30,"no","no","yes","no"
"Silent Fall","Feature Film","Mystery & Suspense",101,5.9,2944,"Rotten",24,"Spilled",38,"no","yes","no","no"
"Rock 'n' Roll High School","Feature Film","Comedy",93,6.8,6788,"Fresh",79,"Upright",75,"no","no","no","no"
"Twilight Zone---The Movie","Feature Film","Horror",101,6.5,24783,"Fresh",65,"Spilled",55,"no","no","no","no"
"The Golden Bowl","Feature Film","Drama",130,6,3745,"Rotten",54,"Spilled",39,"no","no","no","no"
"Rio 2","Feature Film","Animation",101,6.4,54726,"Rotten",48,"Spilled",59,"no","yes","no","no"
"Easy","Feature Film","Drama",99,5.9,1493,"Rotten",59,"Spilled",47,"no","no","no","no"
"Major League: Back to the Minors","Feature Film","Comedy",100,4.4,5616,"Rotten",21,"Spilled",24,"no","no","no","no"
"The Wedding Banquet (Xi yan)","Feature Film","Drama",106,7.6,10492,"Fresh",96,"Upright",87,"no","no","no","yes"
"Gotti","TV Movie","Drama",116,7.3,4451,"Fresh",60,"Upright",83,"no","no","no","no"
"Strange Brew","Feature Film","Comedy",90,6.8,12269,"Fresh",71,"Upright",81,"no","no","no","no"
"Robocop 2","Feature Film","Action & Adventure",117,5.7,60335,"Rotten",32,"Spilled",35,"no","no","no","no"
"Riders (Steal)","Feature Film","Action & Adventure",83,5.5,5035,"Rotten",29,"Spilled",34,"no","no","no","no"
"Warrior","Feature Film","Drama",140,8.2,315051,"Certified Fresh",82,"Upright",92,"no","no","no","no"
"Percy Jackson: Sea of Monsters","Feature Film","Drama",106,5.9,82737,"Rotten",42,"Spilled",55,"no","no","no","no"
"Visioneers","Feature Film","Drama",94,6.1,4944,"Fresh",70,"Spilled",54,"no","no","no","no"
"Bats","Feature Film","Drama",91,3.6,8229,"Rotten",17,"Spilled",14,"no","no","no","no"
"The Brother from Another Planet","Feature Film","Drama",108,6.8,4516,"Fresh",92,"Upright",76,"no","no","no","no"
"Blame It on Rio","Feature Film","Comedy",100,5.7,7858,"Rotten",9,"Spilled",40,"no","no","no","no"
"North Face (Nordwand)","Feature Film","Drama",126,7.4,10938,"Certified Fresh",84,"Upright",82,"no","no","no","no"
"Predator","Feature Film","Action & Adventure",107,7.8,279704,"Certified Fresh",78,"Upright",87,"no","no","no","no"
"The Reef","Feature Film","Mystery & Suspense",94,5.8,11192,"Fresh",78,"Spilled",41,"no","no","no","no"
"Dirty Sanchez: The Movie","Documentary","Comedy",94,6.2,3851,"Rotten",40,"Upright",75,"no","no","no","no"
"Shakedown","Feature Film","Drama",97,5.8,1838,"Fresh",71,"Spilled",43,"no","no","no","no"
"The Principal","Feature Film","Drama",109,6.2,6552,"Rotten",50,"Spilled",52,"no","no","no","no"
"A New Life","Feature Film","Drama",104,5.7,390,"Rotten",29,"Spilled",25,"no","no","no","no"
"Arlington Road","Feature Film","Mystery & Suspense",117,7.2,68429,"Fresh",62,"Upright",74,"no","yes","no","no"
"Annie Hall","Feature Film","Comedy",93,8.1,182983,"Certified Fresh",98,"Upright",93,"yes","no","yes","yes"
"Charlie: The Life and Art of Charles Chaplin","Documentary","Documentary",132,8,1147,"Fresh",95,"Upright",90,"no","no","no","no"
"The Sessions","Feature Film","Drama",95,7.2,35635,"Certified Fresh",93,"Upright",80,"no","no","yes","no"
"Prison","Feature Film","Drama",102,5.9,2569,"Rotten",40,"Spilled",34,"no","no","no","no"
"Kiss of Death","Feature Film","Drama",101,5.9,13980,"Fresh",68,"Spilled",37,"no","yes","yes","no"
"Citizen X","TV Movie","Drama",105,7.7,11477,"Fresh",86,"Upright",86,"no","no","no","no"
"The Comebacks","Feature Film","Comedy",84,4.1,9853,"Rotten",9,"Spilled",33,"no","no","no","no"
"The Other Woman","Feature Film","Drama",102,6.4,14970,"Rotten",39,"Spilled",45,"no","no","yes","no"
"Pusher III: I'm the Angel of Death","Feature Film","Drama",90,7.3,9001,"Fresh",92,"Upright",81,"no","no","no","no"
"Two for the Money","Feature Film","Drama",122,6.2,35868,"Rotten",22,"Spilled",48,"no","yes","no","no"
"Star Trek V - The Final Frontier","Feature Film","Action & Adventure",107,5.4,41767,"Rotten",21,"Spilled",24,"no","no","no","no"
"Cop & 1/2","Feature Film","Comedy",97,3.8,6954,"Rotten",17,"Spilled",35,"no","no","no","no"
"Django Unchained","Feature Film","Other",165,8.5,893008,"Certified Fresh",88,"Upright",91,"no","yes","no","no"
"Cousins","Feature Film","Drama",109,6.2,3467,"Rotten",50,"Upright",69,"no","no","no","no"
"Spy Game","Feature Film","Drama",126,7,117688,"Fresh",66,"Upright",75,"no","no","no","no"
"Held Up","Feature Film","Comedy",89,5.1,2817,"Rotten",17,"Spilled",43,"no","yes","no","no"
"Striking Distance","Feature Film","Mystery & Suspense",102,5.8,32751,"Rotten",14,"Spilled",35,"no","no","no","no"
"One Night With the King","Feature Film","Drama",123,6.3,5704,"Rotten",19,"Upright",78,"no","no","no","no"
"Phil Ochs: There But For Fortune","Documentary","Musical & Performing Arts",96,7.6,318,"Fresh",97,"Upright",78,"no","no","no","no"
"Lethal Weapon 4","Feature Film","Action & Adventure",127,6.6,123989,"Rotten",52,"Upright",64,"no","no","no","no"
"101 Dalmatians","Feature Film","Action & Adventure",103,5.6,70209,"Rotten",38,"Spilled",40,"no","no","no","no"
"Bhutto","Documentary","Documentary",111,7.8,541,"Fresh",86,"Upright",88,"no","no","no","no"
"Deep Impact","Feature Film","Drama",120,6.1,132215,"Rotten",48,"Spilled",43,"no","yes","no","no"
"Shoot 'Em Up","Feature Film","Drama",86,6.7,127458,"Fresh",67,"Upright",65,"no","no","no","no"
"The Room","Feature Film","Drama",99,3.5,27769,"Rotten",35,"Spilled",46,"no","no","no","no"
"Made of Honor","Feature Film","Comedy",101,5.8,52635,"Rotten",14,"Spilled",55,"no","no","no","no"
"The Longest Yard","Feature Film","Drama",121,7.1,12819,"Fresh",81,"Upright",75,"no","no","no","no"
"Dirty Love","Feature Film","Comedy",91,3.5,6054,"Rotten",4,"Upright",67,"no","no","no","no"
"Berberian Sound Studio","Feature Film","Horror",92,6.2,9367,"Certified Fresh",84,"Spilled",54,"no","no","no","no"
"A Good Old Fashioned Orgy","Feature Film","Comedy",95,6.2,17798,"Rotten",32,"Spilled",41,"no","no","no","no"
"May","Feature Film","Drama",93,6.7,26010,"Fresh",69,"Upright",75,"no","no","no","no"
"Any Day Now","Feature Film","Drama",98,7.5,4515,"Certified Fresh",79,"Upright",76,"no","no","no","no"
"Africa: The Serengeti","Documentary","Documentary",39,7.3,535,"Fresh",100,"Upright",74,"no","no","no","no"
"Grosse Pointe Blank","Feature Film","Drama",107,7.4,71572,"Certified Fresh",79,"Upright",87,"no","no","no","no"
"Jack and Jill","Feature Film","Comedy",91,3.4,57933,"Rotten",3,"Spilled",37,"no","yes","no","no"
"Sherman's March","Documentary","Documentary",157,7.5,1784,"Fresh",100,"Upright",86,"no","no","no","no"
"The Ninth Configuration (Twinkle, Twinkle, Killer Kane)","Feature Film","Drama",118,7.2,3883,"Fresh",70,"Upright",79,"no","no","no","no"
"Mr. & Mrs. Bridge","Feature Film","Drama",126,6.7,2282,"Fresh",80,"Spilled",42,"no","yes","yes","no"
"Space Jam","Feature Film","Comedy",88,6.3,105745,"Rotten",36,"Upright",63,"no","no","no","no"
"Spring Breakers","Feature Film","Drama",94,5.3,104457,"Fresh",66,"Spilled",38,"no","no","no","no"
"Fantastic Four: Rise of the Silver Surfer","Feature Film","Action & Adventure",92,5.6,205065,"Rotten",37,"Spilled",51,"no","no","no","no"
"The Hangover","Feature Film","Comedy",100,7.8,562136,"Certified Fresh",79,"Upright",84,"no","no","no","no"
"The Shaggy D.A.","Feature Film","Comedy",91,5.7,1778,"Rotten",50,"Spilled",44,"no","no","no","no"
"Orca - The Killer Whale","Feature Film","Drama",92,5.6,7628,"Rotten",15,"Spilled",33,"no","no","no","no"
"Tang shan da xiong (Fists of Fury) (The Big Boss)","Feature Film","Drama",100,7.1,17934,"Fresh",60,"Upright",74,"no","no","no","no"
"The Story Of Luke","Feature Film","Drama",96,7.3,2502,"Fresh",80,"Upright",78,"no","no","no","no"
"New York, New York","Feature Film","Drama",155,6.7,13092,"Fresh",67,"Spilled",59,"no","yes","yes","yes"
"Barbarosa","Feature Film","Other",90,6.6,1010,"Fresh",100,"Upright",74,"no","no","no","no"
"Sinbad and the Eye of the Tiger","Feature Film","Action & Adventure",113,6.3,4687,"Fresh",63,"Spilled",55,"no","no","no","no"
"K-19: The Widowmaker","Feature Film","Drama",138,6.6,48137,"Fresh",60,"Spilled",52,"no","no","no","yes"
"What's Eating Gilbert Grape","Feature Film","Drama",118,7.8,164112,"Certified Fresh",89,"Upright",89,"no","no","no","no"
"Of Mice and Men","Feature Film","Drama",115,7.5,30921,"Fresh",96,"Upright",82,"no","no","no","no"
"In the Name of the King: A Dungeon Siege Tale","Feature Film","Action & Adventure",127,3.8,37640,"Rotten",4,"Spilled",22,"no","no","no","no"
"Hairspray","Feature Film","Musical & Performing Arts",117,6.8,95327,"Certified Fresh",91,"Upright",85,"no","no","no","no"
"Godzilla","Feature Film","Mystery & Suspense",123,6.5,289825,"Certified Fresh",74,"Upright",66,"no","no","no","no"
"The Freshman","Feature Film","Drama",102,6.5,15525,"Certified Fresh",93,"Upright",61,"no","yes","no","no"
"The Legend of Hercules","Feature Film","Action & Adventure",99,4.2,43268,"Rotten",3,"Spilled",33,"no","no","no","no"
"North Sea Hijack (ffolkes) (Assault Force)","Feature Film","Action & Adventure",100,6.3,3153,"Rotten",33,"Spilled",43,"no","no","no","no"
"Texasville","Feature Film","Drama",123,6,1887,"Rotten",55,"Spilled",50,"no","yes","no","no"
"My Baby's Daddy","Feature Film","Comedy",86,4.5,3096,"Rotten",4,"Spilled",49,"no","no","no","no"
"Clerks II","Feature Film","Drama",97,7.4,112216,"Fresh",63,"Upright",84,"no","no","no","no"
"White House Down","Feature Film","Drama",131,6.4,154674,"Rotten",51,"Upright",62,"no","yes","no","no"
"Flesh & Blood (Flesh+Blood) (The Rose and the Sword)","Feature Film","Drama",126,6.7,12535,"Fresh",79,"Upright",63,"no","no","no","no"
"Bastard out of Carolina","Feature Film","Drama",97,7.4,3363,"Fresh",100,"Upright",83,"no","no","no","no"
"Red Dawn","Feature Film","Action & Adventure",114,6.3,40659,"Rotten",53,"Upright",65,"no","no","no","no"
"Rescue Dawn","Feature Film","Drama",120,7.4,82378,"Certified Fresh",91,"Upright",74,"no","no","no","no"
"The Longshots","Feature Film","Drama",94,5.1,3135,"Rotten",41,"Upright",61,"no","no","no","no"
"Blind Spot: Hitler's Secretary","Documentary","Documentary",90,7.3,1489,"Certified Fresh",85,"Upright",70,"no","no","no","no"
"U-Turn","Feature Film","Drama",125,6.8,41385,"Rotten",59,"Upright",62,"no","yes","no","yes"
"Something's Gotta Give","Feature Film","Comedy",128,6.7,88523,"Fresh",71,"Upright",69,"no","yes","yes","no"
"A Boy and His Dog","Feature Film","Drama",91,6.6,12221,"Fresh",75,"Upright",63,"no","no","no","no"
"Terror Train","Feature Film","Horror",97,5.9,6304,"Rotten",36,"Spilled",39,"no","no","no","no"
"Leatherface: The Texas Chainsaw Massacre III","Feature Film","Horror",85,5.1,9565,"Rotten",19,"Spilled",32,"no","no","no","no"
"Lorenzo's Oil","Feature Film","Drama",129,7.2,15913,"Fresh",94,"Upright",79,"no","no","yes","no"
"Groundhog Day","Feature Film","Other",101,8.1,414687,"Certified Fresh",96,"Upright",87,"no","no","no","no"
"Conviction","Feature Film","Drama",107,7.2,33720,"Fresh",67,"Upright",70,"no","no","no","no"
"Kicking It","Documentary","Documentary",98,7.4,325,"Rotten",53,"Upright",71,"no","no","no","no"
"Vampire Hunter D: Bloodlust","Feature Film","Action & Adventure",103,7.8,22245,"Fresh",72,"Upright",86,"no","no","no","no"
"Bounce","Feature Film","Drama",106,5.7,17133,"Rotten",52,"Spilled",33,"no","no","yes","no"
"A Mighty Heart","Feature Film","Drama",108,6.7,23821,"Certified Fresh",79,"Upright",70,"no","no","no","no"
"Santa Sangre","Feature Film","Drama",123,7.7,13285,"Fresh",85,"Upright",87,"no","no","no","no"
"Resident Evil","Feature Film","Action & Adventure",100,6.7,192052,"Rotten",33,"Upright",68,"no","no","no","no"
"Top Gun","Feature Film","Drama",110,6.9,211129,"Rotten",54,"Upright",83,"no","no","no","no"
"25th Hour","Feature Film","Drama",135,7.7,146518,"Certified Fresh",78,"Upright",85,"no","yes","no","no"
"The Bad News Bears in Breaking Training","Feature Film","Comedy",100,5.4,2239,"Rotten",50,"Spilled",39,"no","no","no","no"
"Streets of Gold","Feature Film","Drama",95,6,486,"Rotten",31,"Spilled",44,"no","no","no","no"
"The Mod Squad","Feature Film","Drama",92,4.1,7658,"Rotten",4,"Spilled",17,"no","no","no","no"
"Where the Heart Is","Feature Film","Drama",107,6.1,1268,"Rotten",11,"Spilled",58,"no","no","no","no"
"Battlefield Earth","Feature Film","Action & Adventure",118,2.4,64119,"Rotten",3,"Spilled",11,"no","yes","no","no"
"Osmosis Jones","Feature Film","Comedy",95,6.2,24678,"Rotten",55,"Spilled",41,"no","no","no","no"
"Never Cry Wolf","Feature Film","Drama",105,7.6,6114,"Fresh",100,"Upright",85,"no","no","no","no"
"A Good Woman","Feature Film","Drama",93,6.5,9399,"Rotten",37,"Spilled",49,"no","no","yes","no"
"Drive","Feature Film","Drama",100,7.8,414650,"Certified Fresh",92,"Upright",79,"no","no","no","no"
"2 Days in the Valley","Feature Film","Drama",104,6.5,15291,"Fresh",60,"Spilled",54,"no","no","yes","no"
"Married to It","Feature Film","Drama",112,5.9,725,"Rotten",33,"Spilled",41,"no","no","no","no"
"Pay It Forward","Feature Film","Drama",123,7.1,93331,"Rotten",40,"Upright",77,"no","yes","yes","no"
"Topsy-Turvy","Feature Film","Drama",154,7.4,9876,"Certified Fresh",89,"Upright",79,"no","no","no","no"
"Beyond the Gates","Feature Film","Drama",115,7.7,9525,"Certified Fresh",84,"Upright",85,"no","no","no","no"
"Top Secret!","Feature Film","Comedy",90,7.2,44741,"Fresh",76,"Upright",80,"no","no","no","no"
"Gaza Strip","Documentary","Documentary",74,7.3,285,"Fresh",78,"Upright",89,"no","no","no","no"
"Night and the City","Feature Film","Drama",105,5.8,3673,"Fresh",67,"Spilled",31,"no","yes","yes","no"
"Lockout (Unrated)","Feature Film","Action & Adventure",95,6.1,79970,"Rotten",38,"Spilled",46,"no","no","no","no"
"Orwell Rolls in His Grave","Documentary","Documentary",84,8.1,1058,"Fresh",79,"Upright",92,"no","no","no","no"
"Sunshine Cleaning","Feature Film","Comedy",91,6.9,60220,"Certified Fresh",72,"Upright",62,"no","no","no","no"
"The Stupids","Feature Film","Comedy",94,4.1,5591,"Rotten",21,"Spilled",36,"no","no","no","no"
"Better This World","Documentary","Documentary",82,7.3,340,"Fresh",100,"Upright",80,"no","no","no","no"
"Wimbledon","Feature Film","Drama",98,6.3,50340,"Fresh",60,"Spilled",57,"no","no","no","no"
"B. Monkey","Feature Film","Drama",92,6,2934,"Fresh",61,"Spilled",55,"no","no","no","no"
"Caveman","Feature Film","Action & Adventure",91,5.7,5564,"Rotten",24,"Spilled",55,"no","no","no","no"
"V for Vendetta","Feature Film","Drama",132,8.2,753592,"Certified Fresh",73,"Upright",90,"no","no","yes","no"
"One on One","Feature Film","Drama",98,6.4,1141,"Fresh",83,"Upright",75,"no","no","no","no"
"Flesh And Bone","Feature Film","Drama",126,6.2,3967,"Fresh",67,"Spilled",40,"no","no","yes","no"
"Mission: Impossible","Feature Film","Mystery & Suspense",110,7.1,287476,"Fresh",63,"Upright",71,"no","yes","no","no"
"A Time to Kill","Feature Film","Mystery & Suspense",149,7.4,94983,"Fresh",67,"Upright",86,"no","yes","yes","no"
"The Color of Money","Feature Film","Other",119,7,56185,"Fresh",90,"Upright",73,"no","yes","no","yes"
"Knightriders","Feature Film","Drama",146,6.4,3138,"Fresh",82,"Upright",61,"no","no","no","no"
"The Company You Keep","Feature Film","Mystery & Suspense",125,6.4,25264,"Rotten",55,"Spilled",45,"no","no","yes","yes"
"Madea Goes to Jail","Feature Film","Drama",103,4.1,9424,"Rotten",29,"Upright",70,"no","no","no","no"
