"title","title_type","genre","runtime","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_win","best_actor_win","best_actress_win","best_dir_win"
"Every Which Way But Loose","Feature Film","Action & Adventure",114,6.2,16681,"Rotten",31,"Spilled",56,"no","no","no","no"
"Strictly Business","Feature Film","Drama",83,5.3,1308,"Rotten",10,"Spilled",56,"no","no","no","no"
"Once","Feature Film","Musical & Performing Arts",85,7.9,87215,"Certified Fresh",97,"Upright",91,"no","no","no","no"
"Beverly Hills Cop","Feature Film","Action & Adventure",105,7.3,121245,"Certified Fresh",83,"Upright",81,"no","no","no","no"
"The Raven","Feature Film","Mystery & Suspense",110,6.4,71112,"Rotten",22,"Spilled",46,"no","no","no","no"
"Nick and Norah's Infinite Playlist","Feature Film","Comedy",90,6.7,72295,"Fresh",74,"Upright",65,"no","no","no","no"
"Attack of the 50 Foot Woman","TV Movie","Other",90,3.8,2289,"Rotten",22,"Spilled",21,"no","no","no","no"
"The Sum of All Fears","Feature Film","Drama",124,6.4,84191,"Rotten",59,"Spilled",49,"no","no","no","no"
"The Interview","Feature Film","Comedy",112,6.6,235529,"Rotten",51,"Spilled",48,"no","no","no","no"
"Let the Right One In","Feature Film","Drama",115,8,168032,"Certified Fresh",98,"Upright",90,"no","no","no","no"
"Volcano","Feature Film","Drama",104,5.4,56329,"Rotten",44,"Spilled",31,"no","no","no","no"
"Nostalgia for the Light","Documentary","Documentary",90,7.6,2849,"Certified Fresh",100,"Upright",84,"no","no","no","no"
"Where the Heart Is","Feature Film","Drama",120,6.8,26360,"Rotten",35,"Upright",77,"no","no","yes","no"
"The Cake Eaters","Feature Film","Art House & International",86,6.5,5762,"Fresh",64,"Spilled",48,"no","no","no","no"
"The Darwin Awards","Feature Film","Drama",94,5.9,8521,"Rotten",25,"Spilled",45,"no","no","no","no"
"Kick-Ass 2","Feature Film","Action & Adventure",103,6.6,191935,"Rotten",30,"Spilled",58,"no","no","no","no"
"Hotel Terminus: The Life and Times of Klaus Barbie","Documentary","Documentary",267,7.8,872,"Fresh",100,"Upright",73,"no","no","no","no"
"Jade","Feature Film","Drama",95,5.1,8999,"Rotten",14,"Spilled",27,"no","no","no","yes"
"Lethal Weapon","Feature Film","Drama",110,7.6,184656,"Certified Fresh",84,"Upright",85,"no","no","no","no"
"Closet Land","Feature Film","Mystery & Suspense",89,7.2,2098,"Rotten",44,"Upright",86,"no","no","no","no"
"Cast Away","Feature Film","Drama",143,7.7,375820,"Certified Fresh",90,"Upright",83,"no","yes","yes","yes"
"Crocodile Dundee in Los Angeles","Feature Film","Action & Adventure",92,4.8,19187,"Rotten",11,"Spilled",25,"no","no","no","no"
"Motorama","Feature Film","Drama",90,6.4,1406,"Fresh",60,"Upright",61,"no","no","no","no"
"Lost and Delirious","Feature Film","Drama",103,7,16755,"Rotten",51,"Upright",78,"no","no","no","no"
"Antiviral","Feature Film","Drama",108,5.6,9003,"Fresh",64,"Spilled",40,"no","no","no","no"
"Class Action","Feature Film","Mystery & Suspense",110,6.3,5014,"Fresh",75,"Spilled",51,"no","yes","no","no"
"The Pit and the Pendulum","Feature Film","Horror",97,6.1,2818,"Rotten",56,"Spilled",40,"no","no","no","no"
"Man on Wire","Documentary","Documentary",94,7.9,38076,"Certified Fresh",100,"Upright",87,"no","no","no","no"
"Madagascar: Escape 2 Africa","Feature Film","Action & Adventure",89,6.7,137405,"Fresh",64,"Upright",66,"no","no","no","no"
"Failure to Launch","Feature Film","Drama",97,5.6,56361,"Rotten",24,"Spilled",52,"no","yes","no","no"
"London to Brighton","Feature Film","Mystery & Suspense",85,7,7244,"Fresh",67,"Upright",75,"no","no","no","no"
"A Stranger Among Us","Feature Film","Drama",110,5.7,2701,"Rotten",23,"Spilled",40,"no","no","no","no"
"Van Wilder: The Rise of Taj (Van Wilder 2)","Feature Film","Comedy",97,4.8,18712,"Rotten",7,"Spilled",38,"no","no","no","no"
"The Human Stain","Feature Film","Mystery & Suspense",106,6.3,25054,"Rotten",43,"Spilled",49,"no","yes","yes","yes"
"Woo","Feature Film","Comedy",84,3.8,1510,"Rotten",10,"Upright",63,"no","no","no","no"
"The Black Stallion","Feature Film","Action & Adventure",118,7.4,8544,"Fresh",88,"Upright",83,"no","no","no","no"
"Savior","Feature Film","Drama",103,7.3,8561,"Rotten",56,"Upright",81,"no","no","no","no"
"Project X","Feature Film","Drama",88,6.7,151934,"Rotten",28,"Upright",61,"no","no","no","no"
"Bottle Rocket","Feature Film","Drama",91,7.1,52449,"Certified Fresh",85,"Upright",80,"no","no","no","no"
"At First Sight","Feature Film","Drama",128,5.9,11001,"Rotten",32,"Spilled",46,"no","no","no","no"
"Session 9","Feature Film","Drama",100,6.5,42613,"Fresh",63,"Upright",64,"no","no","no","no"
"Liz & Dick","TV Movie","Drama",88,4.1,3505,"Rotten",33,"Spilled",19,"no","no","no","no"
"The Devil's Rejects","Feature Film","Horror",107,6.9,74294,"Rotten",53,"Upright",78,"no","no","no","no"
"Surviving Progress","Documentary","Documentary",86,7.5,1480,"Fresh",75,"Upright",80,"no","no","no","no"
"The Squeeze","Feature Film","Action & Adventure",101,4.5,703,"Rotten",17,"Spilled",33,"no","no","no","no"
"Kindergarten Cop","Feature Film","Action & Adventure",111,6,103789,"Rotten",51,"Spilled",51,"no","no","no","no"
"In the Loop","Feature Film","Art House & International",106,7.5,42842,"Certified Fresh",94,"Upright",81,"no","no","no","no"
"Cypher","Feature Film","Action & Adventure",95,6.8,26731,"Rotten",58,"Upright",65,"no","no","no","no"
"Love and Death","Feature Film","Drama",85,7.8,26628,"Fresh",100,"Upright",90,"no","no","yes","yes"
"Happy Gilmore","Feature Film","Comedy",92,7,149437,"Fresh",60,"Upright",85,"no","no","no","no"
"Catch a Fire","Feature Film","Drama",101,6.7,9291,"Certified Fresh",76,"Upright",71,"no","no","no","no"
"Run Lola Run","Feature Film","Drama",81,7.8,157701,"Certified Fresh",93,"Upright",90,"no","no","no","no"
"Funny Farm","Feature Film","Comedy",101,6.1,14901,"Fresh",67,"Spilled",50,"no","no","no","yes"
"Winter Kills","Feature Film","Mystery & Suspense",97,6.4,1361,"Fresh",86,"Spilled",51,"no","yes","no","no"
"Waking Life","Feature Film","Drama",99,7.8,47065,"Certified Fresh",80,"Upright",87,"no","no","no","no"
"An Ideal Husband","Feature Film","Comedy",97,6.9,12606,"Certified Fresh",85,"Upright",69,"no","no","yes","no"
"Being John Malkovich","Feature Film","Drama",112,7.8,246587,"Certified Fresh",93,"Upright",87,"no","no","no","no"
"Secondhand Lions","Feature Film","Drama",111,7.6,42208,"Rotten",59,"Upright",84,"no","yes","no","no"
"Politiki Kouzina (A Touch of Spice)","Feature Film","Drama",108,7.6,9216,"Rotten",31,"Upright",86,"no","no","no","no"
"Hellboy II: The Golden Army (Hellboy 2)","Feature Film","Action & Adventure",120,7,201787,"Certified Fresh",85,"Upright",71,"no","no","no","no"
"The Return of the Pink Panther","Feature Film","Mystery & Suspense",113,7.1,19000,"Fresh",89,"Upright",82,"no","no","no","no"
"Love the Beast","Documentary","Documentary",92,7.5,1799,"Fresh",61,"Upright",72,"no","no","no","no"
"200 Cigarettes","Feature Film","Drama",101,5.9,12877,"Rotten",28,"Spilled",59,"no","no","no","no"
"The Wild Geese","Feature Film","Drama",134,6.8,9025,"Fresh",60,"Upright",76,"no","no","no","no"
"The Slumber Party Massacre","Feature Film","Horror",77,5.7,5985,"Rotten",36,"Spilled",45,"no","no","no","no"
"Oliver & Company","Feature Film","Animation",74,6.7,30886,"Rotten",43,"Upright",63,"no","no","no","no"
"No Mercy","Feature Film","Drama",106,5.6,4970,"Rotten",21,"Spilled",29,"no","no","no","no"
"Imagining Argentina","Feature Film","Art House & International",107,6.3,2732,"Rotten",33,"Upright",72,"no","no","yes","no"
"Good Boy!","Feature Film","Comedy",87,5.1,3336,"Rotten",44,"Spilled",40,"no","no","no","no"
"Speed","Feature Film","Mystery & Suspense",116,7.2,252661,"Certified Fresh",93,"Upright",76,"no","no","yes","no"
"Me and You and Everyone We Know","Feature Film","Drama",91,7.4,30641,"Certified Fresh",81,"Upright",84,"no","no","no","no"
"Henry: Portrait of a Serial Killer","Feature Film","Drama",83,7,22601,"Certified Fresh",86,"Upright",71,"no","no","no","no"
"Someone to Watch over Me","Feature Film","Drama",106,6.1,7076,"Fresh",76,"Spilled",42,"no","no","no","no"
"Grease","Feature Film","Other",110,7.2,161601,"Certified Fresh",78,"Upright",88,"no","no","no","no"
"28 Days Later","Feature Film","Science Fiction & Fantasy",113,7.6,285328,"Certified Fresh",87,"Upright",85,"no","no","no","yes"
"Normal","TV Movie","Drama",110,7.3,2598,"Fresh",100,"Upright",75,"no","no","yes","no"
"Winter's Bone","Feature Film","Drama",100,7.2,108598,"Certified Fresh",94,"Upright",76,"no","no","yes","no"
"Your Sister's Sister","Feature Film","Drama",90,6.7,20655,"Certified Fresh",83,"Upright",66,"no","no","no","no"
"Sleepover","Feature Film","Comedy",89,5.3,12322,"Rotten",15,"Spilled",55,"no","no","no","no"
"The Kingdom","Feature Film","Drama",110,7.1,99192,"Rotten",51,"Upright",76,"no","yes","no","no"
"House on Haunted Hill","Feature Film","Mystery & Suspense",93,5.6,44257,"Rotten",28,"Spilled",42,"no","yes","no","no"
"Patch Adams","Feature Film","Drama",115,6.7,77762,"Rotten",22,"Upright",74,"no","yes","no","no"
"Harry Potter and the Chamber of Secrets","Feature Film","Science Fiction & Fantasy",161,7.4,368799,"Certified Fresh",82,"Upright",79,"no","no","no","no"
"The Heavenly Kid","Feature Film","Drama",90,6.2,2830,"Rotten",25,"Upright",64,"no","no","no","no"
"Snow Flower And The Secret Fan","Feature Film","Art House & International",104,6,2960,"Rotten",21,"Spilled",48,"no","no","no","no"
"Apollo 18","Feature Film","Science Fiction & Fantasy",86,5.2,46233,"Rotten",24,"Spilled",23,"no","no","no","no"
"Total Eclipse","Feature Film","Art House & International",111,6.5,9980,"Rotten",25,"Upright",61,"no","no","no","no"
"Hoodlum","Feature Film","Drama",130,6.2,8016,"Rotten",45,"Upright",66,"no","no","no","no"
"National Security","Feature Film","Drama",88,5.6,37938,"Rotten",11,"Spilled",45,"no","no","no","no"
"Down in the Valley","Feature Film","Other",108,6.5,16480,"Rotten",52,"Spilled",54,"no","no","no","no"
"Young Adult","Feature Film","Drama",94,6.3,63219,"Certified Fresh",80,"Spilled",49,"no","no","yes","no"
"The Man Who Sued God","Feature Film","Drama",97,6.5,4251,"Fresh",71,"Spilled",59,"no","no","no","no"
"Compliance","Feature Film","Drama",90,6.4,23697,"Certified Fresh",89,"Upright",60,"no","no","no","no"
"I Spit On Your Grave","Feature Film","Horror",108,6.3,53675,"Rotten",34,"Spilled",48,"no","no","no","no"
"Maniac","Feature Film","Drama",87,6.5,9787,"Rotten",43,"Spilled",58,"no","no","no","no"
"Dog Park","Feature Film","Comedy",91,5.1,1978,"Rotten",36,"Spilled",28,"no","no","no","no"
"The Brothers Solomon","Feature Film","Comedy",93,5.3,9370,"Rotten",15,"Spilled",31,"no","no","no","no"
"Maurice","Feature Film","Drama",140,7.8,10380,"Fresh",91,"Upright",87,"no","no","no","no"
"The Last Boy Scout","Feature Film","Drama",105,6.9,73280,"Rotten",42,"Upright",68,"no","no","no","no"
"Alligator","Feature Film","Science Fiction & Fantasy",91,5.9,7656,"Fresh",67,"Spilled",47,"no","no","no","no"
"Jennifer 8","Feature Film","Mystery & Suspense",124,6.2,11855,"Rotten",39,"Spilled",37,"no","no","no","no"
"RoboCop","Feature Film","Drama",102,7.5,172765,"Certified Fresh",88,"Upright",83,"no","no","no","no"
"The Football Factory","Feature Film","Documentary",91,6.9,23201,"Rotten",20,"Upright",84,"no","no","no","no"
"Bamboozled","Feature Film","Drama",135,6.4,8604,"Rotten",48,"Upright",74,"no","no","no","no"
"The Sure Thing","Feature Film","Comedy",100,7,14949,"Fresh",87,"Upright",79,"no","no","no","no"
"The Slaughter Rule","Feature Film","Drama",112,6.1,1995,"Fresh",73,"Spilled",44,"no","no","no","no"
"Rise of the Footsoldier","Feature Film","Action & Adventure",119,6.9,15806,"Rotten",14,"Upright",84,"no","no","no","no"
"Hollywood Homicide","Feature Film","Action & Adventure",116,5.3,30694,"Rotten",30,"Spilled",27,"no","no","no","no"
"Morning Glory","Feature Film","Comedy",107,6.5,56888,"Rotten",56,"Spilled",51,"no","no","yes","no"
"11'09''01 - September 11","Feature Film","Drama",134,7,4821,"Certified Fresh",78,"Upright",64,"no","yes","no","no"
"Clownhouse","Feature Film","Horror",81,5.8,3145,"Rotten",40,"Spilled",41,"no","no","no","no"
"Rampart","Feature Film","Drama",108,5.8,19115,"Certified Fresh",74,"Spilled",35,"no","no","no","no"
"Cashback","Feature Film","Drama",102,7.2,70994,"Rotten",46,"Upright",78,"no","no","no","no"
"The Host","Feature Film","Drama",120,7,66233,"Certified Fresh",92,"Upright",72,"no","no","no","no"
"Aspen Extreme","Feature Film","Drama",113,5.8,2295,"Rotten",22,"Upright",66,"no","no","no","no"
"Nomads","Feature Film","Drama",91,5.5,2698,"Rotten",13,"Spilled",37,"no","no","no","no"
"Deconstructing Harry","Feature Film","Comedy",96,7.4,34652,"Fresh",71,"Upright",82,"no","no","no","yes"
"The End of America","Documentary","Documentary",NA,7.5,739,"Fresh",80,"Upright",72,"no","no","no","no"
"Hot Shots! Part Deux","Feature Film","Action & Adventure",86,6.6,64489,"Rotten",59,"Upright",63,"no","no","no","no"
"Control","Feature Film","Musical & Performing Arts",122,7.8,49985,"Certified Fresh",87,"Upright",89,"no","no","no","no"
"Lassie","Feature Film","Action & Adventure",94,5.8,3649,"Fresh",87,"Spilled",56,"no","no","no","no"
"What Richard Did","Feature Film","Drama",88,6.3,3359,"Fresh",93,"Upright",62,"no","no","no","no"
"Emperor","Feature Film","Mystery & Suspense",105,6.5,10020,"Rotten",31,"Spilled",46,"no","no","no","no"
"Hereafter","Feature Film","Mystery & Suspense",129,6.5,78726,"Rotten",46,"Spilled",38,"no","no","no","yes"
"Aladdin","Feature Film","Action & Adventure",90,8,246907,"Certified Fresh",94,"Upright",92,"no","no","no","no"
"The King of Comedy","Feature Film","Drama",109,7.8,49374,"Certified Fresh",89,"Upright",89,"no","yes","no","yes"
"Bound","Feature Film","Mystery & Suspense",108,7.4,40001,"Fresh",92,"Upright",82,"no","no","no","no"
"The Pact","Feature Film","Horror",89,5.8,18670,"Fresh",65,"Spilled",41,"no","no","no","no"
"Electric Dreams","Feature Film","Drama",95,6.5,5149,"Rotten",47,"Upright",72,"no","no","no","no"
"Bull Durham","Feature Film","Drama",108,7.1,35577,"Certified Fresh",97,"Upright",83,"no","no","yes","no"
"Man on Wire","Documentary","Documentary",94,7.9,38076,"Certified Fresh",100,"Upright",87,"no","no","no","no"
"Epic Movie","Feature Film","Action & Adventure",86,2.3,87652,"Rotten",2,"Spilled",29,"no","no","no","no"
"Below","Feature Film","Mystery & Suspense",105,6.2,17329,"Fresh",63,"Spilled",45,"no","no","no","no"
"The Captive","Feature Film","Mystery & Suspense",112,5.9,16511,"Rotten",31,"Spilled",34,"no","no","no","no"
"The Saddest Music in the World","Feature Film","Drama",100,7.2,5002,"Certified Fresh",78,"Upright",79,"no","no","no","no"
"The Godfather, Part II","Feature Film","Mystery & Suspense",202,9,749783,"Certified Fresh",97,"Upright",97,"yes","yes","yes","yes"
"Phantom of the Paradise","Feature Film","Horror",92,7.4,10599,"Fresh",95,"Upright",84,"no","no","no","no"
"Twenty Bucks","Feature Film","Drama",91,6.4,3101,"Fresh",75,"Upright",63,"no","no","no","no"
"Alaska","Feature Film","Action & Adventure",109,5.7,4180,"Rotten",18,"Spilled",44,"no","yes","no","no"
"Running on Empty","Feature Film","Musical & Performing Arts",116,7.7,9904,"Fresh",85,"Upright",68,"no","no","no","no"
"Godzilla Vs Mechagodzilla","Feature Film","Art House & International",84,6.3,3428,"Fresh",67,"Upright",61,"no","no","no","no"
"49 Up","Documentary","Documentary",180,8.2,2056,"Certified Fresh",95,"Upright",86,"no","no","no","no"
"This is 40","Feature Film","Comedy",134,6.2,100447,"Rotten",51,"Spilled",50,"no","no","no","no"
"Fair Game","Feature Film","Drama",108,6.8,37506,"Certified Fresh",79,"Upright",65,"no","yes","no","no"
"Hercules","Feature Film","Action & Adventure",98,6,109633,"Fresh",60,"Spilled",49,"no","no","no","no"
"Max Manus: Man of War","Feature Film","Drama",118,7.3,21443,"Fresh",80,"Upright",83,"no","no","no","no"
"Curdled","Feature Film","Drama",88,5.9,4031,"Rotten",17,"Spilled",57,"no","no","no","no"
"The Omen","Feature Film","Mystery & Suspense",110,5.5,47692,"Rotten",27,"Spilled",40,"no","no","no","no"
"A Night at the Roxbury","Feature Film","Comedy",82,6.2,47343,"Rotten",11,"Upright",69,"no","no","no","no"
"Tank Girl","Feature Film","Action & Adventure",104,5.2,24084,"Rotten",38,"Upright",63,"no","no","no","no"
"Missing","Feature Film","Mystery & Suspense",122,7.8,13215,"Fresh",96,"Upright",85,"no","yes","yes","no"
"Point Break","Feature Film","Mystery & Suspense",122,7.2,105982,"Fresh",68,"Upright",79,"no","no","no","yes"
"Shall We Dance","Feature Film","Drama",106,6.1,34461,"Rotten",46,"Spilled",57,"no","no","yes","no"
"Malibu's Most Wanted","Feature Film","Comedy",86,5.1,15714,"Rotten",31,"Spilled",53,"no","no","no","no"
"The Evening Star","Feature Film","Drama",129,5.8,3358,"Rotten",23,"Upright",65,"no","no","yes","no"
"Cloud Atlas","Feature Film","Drama",172,7.5,275125,"Fresh",66,"Upright",66,"no","yes","yes","no"
"Fire Down Below","Feature Film","Action & Adventure",105,4.9,13280,"Rotten",11,"Spilled",35,"no","no","no","no"
"The Five Heartbeats","Feature Film","Musical & Performing Arts",121,7.5,2551,"Rotten",38,"Upright",95,"no","no","no","no"
"Porky's Revenge","Feature Film","Art House & International",92,4.6,5863,"Rotten",27,"Spilled",33,"no","no","no","no"
"Disaster Movie","Feature Film","Comedy",87,1.9,73219,"Rotten",1,"Spilled",19,"no","no","no","no"
"Teen Wolf Too","Feature Film","Science Fiction & Fantasy",95,3.1,8319,"Rotten",7,"Spilled",17,"no","no","no","no"
"The Fighter","Feature Film","Other",116,7.9,265725,"Certified Fresh",90,"Upright",89,"no","no","no","no"
"A Little Romance","Feature Film","Drama",110,7.5,3859,"Fresh",72,"Upright",86,"no","yes","no","yes"
"First Knight","Feature Film","Drama",134,5.9,53535,"Rotten",47,"Spilled",55,"no","no","no","no"
"Tabloid","Documentary","Documentary",87,7.1,4907,"Certified Fresh",91,"Upright",72,"no","no","no","no"
"The Hurt Locker","Feature Film","Drama",131,7.6,318019,"Certified Fresh",98,"Upright",84,"yes","no","no","yes"
"Benda Bilili!","Documentary","Documentary",85,7.5,679,"Fresh",93,"Upright",82,"no","no","no","no"
"Memento","Feature Film","Mystery & Suspense",113,8.5,806911,"Certified Fresh",92,"Upright",94,"no","no","no","no"
"A Prayer for the Dying","Feature Film","Drama",107,6.4,3342,"Fresh",63,"Spilled",55,"no","no","no","no"
"Jonestown: The Life and Death of Peoples Temple","Documentary","Documentary",86,7.9,3649,"Certified Fresh",94,"Upright",88,"no","no","no","no"
"So I Married an Axe Murderer","Feature Film","Comedy",93,6.4,27417,"Rotten",55,"Upright",68,"no","no","no","no"
"Ziggy Stardust and the Spiders from Mars","Documentary","Documentary",90,7.5,1815,"Fresh",71,"Upright",89,"no","no","no","no"
"Conversations With Other Women","Feature Film","Drama",84,7.1,9939,"Fresh",74,"Upright",76,"no","no","no","no"
"Sleepwalking","Feature Film","Drama",101,6.2,4857,"Rotten",17,"Spilled",43,"no","no","yes","no"
"Next Stop, Greenwich Village","Feature Film","Drama",111,6.9,1428,"Fresh",73,"Upright",62,"no","no","no","no"
"Dream House","Feature Film","Mystery & Suspense",92,5.9,44248,"Rotten",6,"Spilled",36,"no","no","no","no"
"Resurrecting the Champ","Feature Film","Drama",112,6.8,18141,"Fresh",60,"Upright",60,"no","no","no","no"
"The Help","Feature Film","Drama",146,8.1,303529,"Certified Fresh",76,"Upright",89,"no","no","no","no"
"A Scanner Darkly","Feature Film","Drama",100,7.1,86953,"Fresh",69,"Upright",74,"no","no","no","no"
"Hard Candy","Feature Film","Drama",104,7.1,128361,"Fresh",68,"Upright",78,"no","no","no","no"
"This Is the End","Feature Film","Drama",107,6.7,297034,"Certified Fresh",83,"Upright",71,"no","no","no","no"
"Longtime Companion","Feature Film","Drama",96,7.6,4143,"Fresh",100,"Upright",82,"no","no","no","no"
"The Last Lions","Documentary","Documentary",88,8.4,3128,"Fresh",87,"Upright",89,"no","yes","no","no"
"Aguirre, der Zorn Gottes (Aguirre, the Wrath of God)","Feature Film","Drama",93,8,36909,"Fresh",98,"Upright",91,"no","no","no","no"
"The Main Event","Feature Film","Other",112,5.8,1816,"Rotten",38,"Spilled",44,"no","no","no","no"
"Inserts","Feature Film","Drama",117,6.4,1043,"Fresh",80,"Spilled",56,"no","yes","no","no"
"Star Trek: Insurrection","Feature Film","Action & Adventure",103,6.4,54829,"Rotten",55,"Spilled",45,"no","no","no","no"
"Valmont","Feature Film","Drama",137,7,9725,"Rotten",54,"Upright",70,"no","yes","no","no"
"Kill Bill: Volume 2","Feature Film","Drama",137,8,490295,"Certified Fresh",84,"Upright",89,"no","no","no","no"
"8 Heads in a Duffel Bag","Feature Film","Comedy",95,5.2,7881,"Rotten",11,"Spilled",35,"no","no","no","no"
"Meteor","Feature Film","Drama",108,4.9,5136,"Rotten",5,"Spilled",13,"no","no","no","no"
"Dance Flick","Feature Film","Action & Adventure",83,3.5,10055,"Rotten",18,"Spilled",30,"no","no","no","no"
"Stolen Summer","Feature Film","Drama",91,6.5,2408,"Rotten",36,"Upright",68,"no","no","no","no"
"1941","Feature Film","Action & Adventure",118,5.9,24472,"Rotten",32,"Spilled",49,"no","no","no","yes"
"Underworld: The Rise of the Lycans","Feature Film","Action & Adventure",92,6.6,115026,"Rotten",29,"Upright",63,"no","no","no","no"
"After Innocence","Documentary","Documentary",95,7.8,651,"Certified Fresh",91,"Upright",81,"no","no","no","no"
"Tim and Eric's Billion Dollar Movie","Feature Film","Comedy",93,5.3,7710,"Rotten",38,"Spilled",47,"no","no","no","no"
"Mr. Jones","Feature Film","Drama",114,5.7,5425,"Rotten",46,"Spilled",51,"no","no","yes","no"
"Goin' South","Feature Film","Other",105,6.3,4550,"Fresh",71,"Spilled",50,"no","yes","no","no"
"Russian Dolls (Les Poupees Russes)","Feature Film","Other",125,7,16262,"Fresh",72,"Upright",78,"no","no","no","no"
"My Flesh and Blood","Documentary","Documentary",83,8.4,1571,"Fresh",90,"Upright",93,"no","no","no","no"
"Revenge of the Nerds II: Nerds in Paradise","Feature Film","Comedy",88,4.9,10271,"Rotten",8,"Spilled",35,"no","no","no","no"
"Hulk","Feature Film","Action & Adventure",138,5.7,204042,"Fresh",61,"Spilled",29,"no","no","no","yes"
"Vampire in Brooklyn","Feature Film","Horror",100,4.5,16824,"Rotten",10,"Spilled",31,"no","no","no","no"
"George Washington","Feature Film","Art House & International",89,7.5,6061,"Certified Fresh",84,"Upright",85,"no","no","no","no"
"Agent Cody Banks 2: Destination London","Feature Film","Action & Adventure",100,4.5,10651,"Rotten",13,"Spilled",31,"no","no","no","no"
"Into The Arms Of Strangers - Stories Of The Kindertransport","Documentary","Documentary",122,7.9,1346,"Fresh",94,"Upright",85,"no","no","no","no"
"The Take","Feature Film","Drama",96,5.8,1886,"Fresh",85,"Spilled",49,"no","no","no","no"
"A Star is Born","Feature Film","Drama",139,6.5,4874,"Rotten",31,"Upright",69,"no","no","yes","no"
"The Belly of an Architect","Feature Film","Drama",119,7,4121,"Fresh",91,"Upright",80,"no","no","no","no"
"Veronica Mars","Feature Film","Drama",107,6.8,40133,"Certified Fresh",78,"Upright",79,"no","no","no","no"
"Kaena: The Prophecy","Feature Film","Action & Adventure",85,6.2,3416,"Rotten",7,"Spilled",43,"no","no","no","no"
"Ghost Ship","Feature Film","Horror",91,5.5,73617,"Rotten",14,"Spilled",37,"no","no","no","no"
"21 Grams","Feature Film","Drama",124,7.7,183747,"Certified Fresh",80,"Upright",86,"no","yes","no","yes"
"Date Night","Feature Film","Comedy",88,6.3,123588,"Fresh",67,"Spilled",55,"no","no","no","no"
