"title","title_type","genre","runtime","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_win","best_actor_win","best_actress_win","best_dir_win"
"Anchorman 2: The Legend Continues","Feature Film","Comedy",119,6.3,124250,"Certified Fresh",75,"Spilled",52,"no","no","no","no"
"Thunderheart","Feature Film","Drama",119,6.8,11103,"Fresh",87,"Upright",75,"no","no","no","no"
"Guess Who","Feature Film","Comedy",105,5.9,33040,"Rotten",43,"Spilled",49,"no","no","no","no"
"Brubaker","Feature Film","Drama",131,7.1,11236,"Fresh",75,"Upright",74,"no","no","no","no"
"Jagged Edge","Feature Film","Mystery & Suspense",108,6.4,9946,"Fresh",82,"Spilled",58,"no","yes","no","no"
"The Last Remake of Beau Geste","Feature Film","Action & Adventure",85,6,1680,"Rotten",33,"Upright",65,"no","no","no","no"
"Melancholia","Feature Film","Drama",130,7.1,122980,"Certified Fresh",79,"Upright",67,"no","no","no","no"
"Boomerang","Feature Film","Comedy",117,5.4,19603,"Rotten",40,"Upright",60,"no","no","yes","no"
"The Ritz","Feature Film","Art House & International",91,7.8,1663,"Rotten",40,"Upright",83,"no","no","no","no"
"The Man with the Golden Gun","Feature Film","Drama",125,6.8,71141,"Rotten",45,"Spilled",57,"no","no","no","no"
"Hellraiser - Bloodline","Feature Film","Science Fiction & Fantasy",85,5,13790,"Rotten",25,"Spilled",37,"no","no","no","no"
"The Butcher's Wife","Feature Film","Other",107,5.3,5374,"Rotten",21,"Spilled",29,"no","no","yes","no"
"Diner","Feature Film","Drama",110,7.2,14589,"Fresh",91,"Upright",78,"no","no","no","yes"
"Cecil B. Demented","Feature Film","Comedy",87,6.2,11259,"Rotten",53,"Upright",67,"no","no","no","no"
"Ragtime","Feature Film","Drama",155,7.3,6472,"Fresh",90,"Upright",76,"no","yes","no","no"
"One Day","Feature Film","Drama",107,7,100416,"Rotten",36,"Spilled",49,"no","no","no","no"
"Rambling Rose","Feature Film","Drama",112,6.7,3866,"Fresh",100,"Spilled",51,"no","yes","no","no"
"Cameraman: The Life And Work Of Jack Cardiff","Documentary","Documentary",86,7.8,872,"Fresh",96,"Upright",92,"no","yes","no","no"
"I Am Bruce Lee","Documentary","Documentary",94,7.5,2928,"Fresh",67,"Upright",78,"no","no","no","no"
"Let It Be","Documentary","Documentary",81,7.9,3887,"Fresh",82,"Upright",87,"no","no","no","no"
"The Groove Tube","Feature Film","Other",75,5.9,1607,"Rotten",13,"Upright",60,"no","no","no","no"
"Brighton Rock","Feature Film","Mystery & Suspense",111,5.8,4904,"Rotten",51,"Spilled",32,"no","no","yes","no"
"The Disappearance of Alice Creed","Feature Film","Mystery & Suspense",96,6.8,19937,"Certified Fresh",82,"Upright",67,"no","no","no","no"
"Sgt. Bilko","Feature Film","Comedy",93,5.7,17384,"Rotten",32,"Spilled",47,"no","no","no","no"
"One Night at McCool's","Feature Film","Comedy",93,6.1,25683,"Rotten",33,"Spilled",39,"no","yes","no","no"
"V.I. Warshawski","Feature Film","Drama",89,4.8,3883,"Rotten",17,"Spilled",24,"no","no","no","no"
"Glory","Feature Film","Drama",122,7.9,99582,"Certified Fresh",93,"Upright",93,"no","yes","no","no"
"Carnosaur","Feature Film","Horror",83,3.4,2959,"Rotten",11,"Spilled",24,"no","no","no","no"
"The Ninth Gate","Feature Film","Mystery & Suspense",133,6.7,134031,"Rotten",41,"Spilled",57,"no","no","no","no"
"New York Minute","Feature Film","Action & Adventure",91,4.8,17190,"Rotten",11,"Spilled",47,"no","no","no","no"
"Blue Valentine","Feature Film","Drama",112,7.4,135840,"Certified Fresh",88,"Upright",77,"no","no","no","no"
"The Jazz Singer","Feature Film","Musical & Performing Arts",115,5.7,2897,"Rotten",15,"Upright",72,"no","yes","no","no"
"The Other Sister","Feature Film","Drama",129,6.4,10126,"Rotten",29,"Upright",72,"no","no","yes","no"
"The Astronaut Farmer","Feature Film","Drama",104,6.3,19383,"Rotten",57,"Spilled",49,"no","no","no","no"
"Modigliani","Feature Film","Art House & International",128,7.4,8030,"Rotten",4,"Upright",78,"no","no","no","no"
"Inbred","Feature Film","Art House & International",90,5.3,3461,"Rotten",13,"Spilled",29,"no","no","no","no"
"Pooh's Heffalump Movie","Feature Film","Animation",68,6.4,3970,"Certified Fresh",79,"Upright",70,"no","no","no","no"
"Good Will Hunting","Feature Film","Drama",126,8.3,572236,"Certified Fresh",97,"Upright",94,"no","no","no","no"
"Town & Country","Feature Film","Drama",104,4.3,4072,"Rotten",13,"Spilled",14,"no","no","yes","no"
"Happy Feet","Feature Film","Animation",108,6.5,126257,"Certified Fresh",75,"Upright",70,"no","no","yes","no"
"Deck the Halls","Feature Film","Comedy",93,4.9,15491,"Rotten",6,"Spilled",30,"no","no","no","no"
"Simone","Feature Film","Drama",117,6.1,51070,"Rotten",51,"Spilled",35,"no","yes","no","no"
"The Adjuster","Feature Film","Drama",102,6.8,2530,"Fresh",73,"Upright",73,"no","no","no","no"
"Turistas (Paradise Lost)","Feature Film","Drama",93,5.3,30495,"Rotten",16,"Spilled",28,"no","no","no","no"
"New In Town","Feature Film","Comedy",97,5.6,16955,"Rotten",29,"Spilled",37,"no","no","no","no"
"The Prestige","Feature Film","Drama",130,8.5,797101,"Certified Fresh",76,"Upright",92,"no","no","no","no"
"Waist Deep","Feature Film","Drama",97,5.9,8059,"Rotten",27,"Upright",76,"no","no","no","no"
"The Science of Sleep","Feature Film","Drama",105,7.3,60483,"Fresh",71,"Upright",81,"no","no","no","no"
"Gracie","Feature Film","Drama",95,6.2,3602,"Fresh",60,"Spilled",58,"no","no","no","no"
"See No Evil, Hear No Evil","Feature Film","Action & Adventure",103,6.8,34802,"Rotten",18,"Upright",72,"no","yes","no","no"
"The Safety of Objects","Feature Film","Mystery & Suspense",121,6.6,3730,"Rotten",49,"Upright",66,"no","no","no","no"
"Dumb and Dumberer: When Harry Met Lloyd","Feature Film","Comedy",85,3.4,30085,"Rotten",10,"Spilled",23,"no","no","no","no"
"The Little Rascals","Feature Film","Comedy",82,6.3,32737,"Rotten",25,"Upright",70,"no","no","no","no"
"Moonstruck","Feature Film","Drama",102,7.1,34307,"Certified Fresh",92,"Upright",81,"no","yes","yes","no"
"World Trade Center","Feature Film","Drama",129,6,66171,"Fresh",68,"Upright",60,"no","yes","no","yes"
"The Portrait of a Lady","Feature Film","Drama",144,6.3,8685,"Rotten",43,"Spilled",52,"no","no","yes","no"
"The Postman","Feature Film","Action & Adventure",177,5.9,54597,"Rotten",9,"Spilled",49,"no","no","no","yes"
"Mixed Nuts","Feature Film","Comedy",97,5.3,7862,"Rotten",7,"Spilled",46,"no","no","no","no"
"While You Were Sleeping","Feature Film","Drama",103,6.6,68871,"Certified Fresh",80,"Upright",79,"no","no","yes","no"
"No Country for Old Men","Feature Film","Drama",122,8.1,582091,"Certified Fresh",93,"Upright",86,"yes","no","no","yes"
"Pootie Tang","Feature Film","Comedy",81,5.1,11156,"Rotten",29,"Upright",63,"no","no","no","no"
"Sans Soleil","Documentary","Documentary",100,8.2,6345,"Fresh",92,"Upright",88,"no","no","no","no"
"The Secret Life of Words","Feature Film","Art House & International",115,7.5,9990,"Fresh",71,"Upright",86,"no","no","no","no"
"Dare","Feature Film","Drama",92,5.9,3473,"Fresh",60,"Spilled",34,"no","no","no","no"
"Formula 51","Feature Film","Action & Adventure",93,6.3,42295,"Rotten",25,"Spilled",59,"no","no","no","no"
"The Fifth Element","Feature Film","Drama",126,7.6,329613,"Fresh",71,"Upright",87,"no","no","no","no"
"The Frozen Ground","Feature Film","Mystery & Suspense",105,6.4,42408,"Fresh",60,"Spilled",50,"no","yes","no","no"
"Ice Age: Continental Drift","Feature Film","Action & Adventure",88,6.7,137222,"Rotten",37,"Upright",62,"no","no","no","no"
"Showtime","Feature Film","Comedy",95,5.5,51366,"Rotten",25,"Spilled",25,"no","yes","no","no"
"The Greatest Game Ever Played","Feature Film","Drama",120,7.5,21623,"Fresh",63,"Upright",82,"no","no","no","no"
"Grizzly Man","Documentary","Documentary",103,7.8,39320,"Certified Fresh",93,"Upright",85,"no","no","no","no"
"Galaxina","Feature Film","Science Fiction & Fantasy",95,3.4,1915,"Rotten",17,"Spilled",26,"no","no","no","no"
"Oh, God! Book II","Feature Film","Comedy",94,5.1,1674,"Rotten",50,"Spilled",38,"no","no","no","no"
"Micki + Maude","Feature Film","Comedy",118,5.9,2096,"Fresh",67,"Spilled",45,"no","no","no","no"
"Bootmen","Feature Film","Drama",95,6.2,1935,"Rotten",35,"Upright",70,"no","no","no","no"
"My Dinner with Andre","Feature Film","Drama",110,7.8,10522,"Fresh",91,"Upright",86,"no","no","no","no"
"Mother's Boys","Feature Film","Mystery & Suspense",96,5.4,2380,"Rotten",43,"Spilled",28,"no","no","no","no"
"Robin Hood","Feature Film","Action & Adventure",83,7.6,78862,"Rotten",50,"Upright",81,"no","no","no","no"
"Ghost Rider: Spirit of Vengeance","Feature Film","Action & Adventure",96,4.3,83724,"Rotten",17,"Spilled",32,"no","yes","no","no"
"Naked Lunch","Feature Film","Drama",115,7.1,34298,"Fresh",71,"Upright",77,"no","no","no","no"
"Theremin: An Electronic Odyssey","Documentary","Documentary",83,7.4,830,"Fresh",100,"Upright",72,"no","no","no","no"
"The Whole Wide World","Feature Film","Drama",111,7.3,2869,"Fresh",81,"Upright",72,"no","no","no","no"
"Hostel","Feature Film","Horror",94,5.9,134510,"Fresh",61,"Spilled",53,"no","no","no","no"
"Swordfish","Feature Film","Drama",99,6.5,152216,"Rotten",26,"Upright",60,"no","no","yes","no"
"Dark Skies","Feature Film","Mystery & Suspense",97,6.3,54771,"Rotten",40,"Spilled",49,"no","no","no","no"
"The Distinguished Gentleman","Feature Film","Comedy",112,5.8,11838,"Rotten",13,"Spilled",36,"no","no","no","no"
"The Time Traveler's Wife","Feature Film","Drama",107,7.1,110540,"Rotten",38,"Spilled",59,"no","no","no","no"
"Breathless","Feature Film","Drama",100,5.7,6343,"Fresh",67,"Spilled",49,"no","no","no","no"
"Love Actually","Feature Film","Comedy",135,7.7,309494,"Fresh",63,"Upright",73,"no","yes","yes","no"
"Oh, God!","Feature Film","Science Fiction & Fantasy",98,6.5,6909,"Fresh",72,"Spilled",59,"no","no","no","no"
"Bookies","Feature Film","Drama",88,6,1890,"Fresh",67,"Spilled",49,"no","no","no","no"
"Live and Let Die","Feature Film","Mystery & Suspense",121,6.8,72176,"Fresh",66,"Upright",65,"no","no","no","no"
"What's Cooking?","Feature Film","Drama",109,7.1,2271,"Rotten",52,"Upright",64,"no","no","no","no"
"The Funeral","Feature Film","Drama",99,6.6,6804,"Fresh",79,"Upright",68,"no","no","no","no"
"Safe House","Feature Film","Mystery & Suspense",115,6.8,161101,"Rotten",53,"Upright",64,"no","no","no","no"
"Welcome to Mooseport","Feature Film","Comedy",110,5.2,10535,"Rotten",13,"Spilled",19,"no","yes","no","no"
"Trainspotting","Feature Film","Drama",94,8.2,448434,"Certified Fresh",89,"Upright",93,"no","no","no","yes"
"I Wanna Hold Your Hand","Feature Film","Drama",104,6.9,2931,"Fresh",83,"Upright",76,"no","no","no","yes"
"UHF","Feature Film","Other",97,7,21009,"Fresh",63,"Upright",77,"no","no","no","no"
"Lola Versus","Feature Film","Comedy",87,5.4,6811,"Rotten",35,"Spilled",31,"no","no","no","no"
"Countdown to Zero","Documentary","Documentary",89,6.9,1943,"Certified Fresh",81,"Upright",72,"no","no","no","no"
"The Imposter","Documentary","Documentary",99,7.5,32338,"Certified Fresh",95,"Upright",78,"no","no","no","no"
"The Perfect Score","Feature Film","Drama",93,5.7,19161,"Rotten",17,"Spilled",44,"no","no","no","no"
"A Perfect Getaway","Feature Film","Mystery & Suspense",98,6.5,54871,"Fresh",61,"Spilled",52,"no","no","no","no"
"Death Line (Raw Meat)","Feature Film","Horror",87,6,2433,"Fresh",86,"Spilled",44,"no","no","no","no"
"Things to Do in Denver...When You're Dead","Feature Film","Drama",115,6.8,21924,"Rotten",33,"Upright",73,"no","no","no","no"
"Mad Max 2: The Road Warrior","Feature Film","Action & Adventure",95,7.6,128298,"Certified Fresh",98,"Upright",85,"no","no","no","no"
"My Girl 2","Feature Film","Drama",99,5.1,14559,"Rotten",27,"Spilled",46,"no","no","no","no"
"Candy","Feature Film","Drama",116,7.3,34926,"Rotten",49,"Upright",77,"no","yes","no","no"
"The Secret Garden","Feature Film","Drama",101,7.3,27097,"Certified Fresh",85,"Upright",80,"no","no","yes","no"
"Get on the Bus","Feature Film","Drama",120,6.8,4021,"Certified Fresh",88,"Upright",71,"no","no","no","no"
"Ghosts of Abu Ghraib","Documentary","Documentary",78,8,764,"Fresh",100,"Upright",91,"no","no","no","no"
"Punchline","Feature Film","Drama",128,5.8,6418,"Rotten",50,"Spilled",42,"no","yes","yes","no"
"Bridget Jones - The Edge of Reason","Feature Film","Drama",108,5.9,70737,"Rotten",27,"Upright",61,"no","yes","no","no"
"Code Name: The Cleaner","Feature Film","Action & Adventure",84,4.5,9656,"Rotten",4,"Spilled",37,"no","no","no","no"
"Fast & Furious","Feature Film","Mystery & Suspense",107,6.6,193702,"Rotten",28,"Upright",67,"no","no","no","no"
"House of 1000 Corpses","Feature Film","Horror",89,6,59076,"Rotten",19,"Upright",65,"no","no","no","no"
"What Women Want","Feature Film","Comedy",127,6.4,154148,"Rotten",54,"Spilled",54,"no","no","yes","no"
"River's Edge","Feature Film","Drama",99,7.1,11377,"Fresh",87,"Upright",76,"no","no","no","no"
"The Babysitter","Feature Film","Mystery & Suspense",90,4.2,3302,"Rotten",17,"Spilled",15,"no","no","no","no"
"Saint of 9/11","Documentary","Documentary",90,7.8,180,"Fresh",84,"Upright",79,"no","no","no","no"
"Black Death","Feature Film","Drama",102,6.4,34253,"Fresh",68,"Spilled",49,"no","yes","no","no"
"Little Manhattan","Feature Film","Drama",84,7.6,17960,"Fresh",77,"Upright",86,"no","no","no","no"
"In Search of Beethoven","Documentary","Musical & Performing Arts",139,7.5,281,"Fresh",92,"Upright",77,"no","no","no","no"
"Taps","Feature Film","Drama",126,6.7,12498,"Fresh",75,"Upright",67,"no","yes","no","no"
"Planes, Trains and Automobiles","Feature Film","Comedy",93,7.6,86831,"Certified Fresh",94,"Upright",87,"no","no","no","no"
"Mirrors","Feature Film","Mystery & Suspense",110,6.2,83424,"Rotten",14,"Spilled",44,"no","no","no","no"
"A Shot at Glory","Feature Film","Drama",114,6.3,1803,"Fresh",67,"Upright",65,"no","no","no","no"
"Flipped","Feature Film","Drama",90,7.7,56919,"Rotten",55,"Upright",78,"no","no","no","no"
"Sweet Sixteen","Feature Film","Drama",106,7.5,10250,"Certified Fresh",97,"Upright",87,"no","no","no","no"
"Cold Creek Manor","Feature Film","Mystery & Suspense",118,4.9,18005,"Rotten",12,"Spilled",22,"no","no","no","no"
"Snake Eyes","Feature Film","Drama",98,5.9,62773,"Rotten",40,"Spilled",35,"no","yes","no","no"
"Croupier","Feature Film","Mystery & Suspense",94,7.2,15444,"Certified Fresh",98,"Upright",80,"no","no","no","no"
"What About Bob?","Feature Film","Drama",99,7,48756,"Fresh",83,"Upright",79,"no","yes","no","no"
"The Ex","Feature Film","Comedy",89,5.6,14986,"Rotten",19,"Spilled",32,"no","no","no","no"
"A Haunted House 2","Feature Film","Comedy",86,4.7,13525,"Rotten",8,"Spilled",44,"no","no","no","no"
"Real Steel","Feature Film","Drama",127,7.1,246343,"Fresh",60,"Upright",73,"no","no","no","no"
"Wanted","Feature Film","Action & Adventure",110,6.7,290958,"Certified Fresh",72,"Upright",69,"no","no","no","no"
"Thieves Like Us","Feature Film","Drama",123,7.1,3146,"Fresh",89,"Upright",71,"no","no","yes","no"
"In Dreams","Feature Film","Mystery & Suspense",100,5.5,10886,"Rotten",25,"Spilled",39,"no","no","no","no"
"Mallrats","Feature Film","Comedy",94,7.2,96471,"Rotten",55,"Upright",82,"no","no","no","no"
"Medicine Man","Feature Film","Drama",106,5.9,17101,"Rotten",20,"Spilled",46,"no","no","no","no"
"Sea Monsters: A Prehistoric Adventure","Documentary","Documentary",40,7,723,"Fresh",100,"Upright",68,"no","no","no","no"
"Ray","Feature Film","Drama",152,7.7,106171,"Certified Fresh",81,"Upright",87,"no","yes","no","no"
"Coach Carter","Feature Film","Drama",136,7.2,88777,"Fresh",65,"Upright",85,"no","no","no","no"
"Training Day","Feature Film","Drama",122,7.7,294683,"Fresh",72,"Upright",89,"no","yes","no","no"
"Saturday Night Fever","Feature Film","Drama",118,6.8,51534,"Certified Fresh",88,"Upright",71,"no","no","no","no"
"The Mother","Feature Film","Drama",112,6.9,3487,"Certified Fresh",77,"Upright",62,"no","no","no","no"
"Under Fire","Feature Film","Mystery & Suspense",128,7.1,5115,"Fresh",88,"Upright",68,"no","yes","no","no"
"Hairspray","Feature Film","Drama",92,6.9,15449,"Fresh",97,"Upright",80,"no","no","no","no"
"Sweet Liberty","Feature Film","Comedy",106,5.7,2181,"Fresh",75,"Spilled",34,"no","no","no","no"
"Urban Cowboy","Feature Film","Other",132,6.2,9832,"Fresh",77,"Upright",81,"no","no","no","no"
"Shooter","Feature Film","Drama",124,7.2,247105,"Rotten",48,"Upright",80,"no","no","no","no"
"Crumb","Documentary","Comedy",119,8,13614,"Certified Fresh",95,"Upright",89,"no","no","no","no"
"Just Friends","Feature Film","Drama",96,6.2,78297,"Rotten",42,"Upright",72,"no","no","no","no"
"Over the Edge","Feature Film","Drama",95,7.6,4369,"Fresh",89,"Upright",86,"no","no","no","no"
"Operation Dumbo Drop","Feature Film","Comedy",107,4.9,6765,"Rotten",31,"Spilled",29,"no","no","no","no"
"The Postman Always Rings Twice","Feature Film","Mystery & Suspense",122,6.6,16137,"Fresh",83,"Spilled",59,"no","yes","yes","no"
"Monster","Feature Film","Drama",109,7.3,101850,"Certified Fresh",82,"Upright",81,"no","no","yes","no"
"Bright Leaves","Documentary","Documentary",107,7.1,504,"Certified Fresh",86,"Upright",71,"no","no","yes","no"
"Teenage Paparazzo","Documentary","Documentary",94,7.4,1935,"Fresh",100,"Upright",94,"no","no","no","no"
"The Gauntlet","Feature Film","Mystery & Suspense",109,6.4,15116,"Fresh",82,"Spilled",54,"no","no","no","yes"
"Jerry Maguire","Feature Film","Drama",139,7.3,183717,"Certified Fresh",85,"Upright",79,"no","no","no","no"
"Felon","Feature Film","Drama",104,7.5,64873,"Rotten",59,"Upright",82,"no","no","no","no"
"On Golden Pond","Feature Film","Drama",109,7.7,20738,"Fresh",92,"Upright",87,"no","yes","yes","no"
"Army of Darkness","Feature Film","Action & Adventure",81,7.6,123769,"Fresh",72,"Upright",87,"no","no","no","no"
"Maverick","Feature Film","Other",127,7,79866,"Fresh",67,"Upright",71,"no","no","yes","no"
"The Little Mermaid","Feature Film","Animation",83,7.6,160237,"Certified Fresh",92,"Upright",88,"no","no","no","no"
"Astro Boy (AstroBoy)","Feature Film","Action & Adventure",94,6.3,24595,"Rotten",49,"Spilled",50,"no","yes","no","no"
"The Trip","Feature Film","Art House & International",112,7,16883,"Certified Fresh",89,"Upright",70,"no","no","no","no"
"Pete Seeger: The Power of Song","Documentary","Documentary",93,8.4,390,"Fresh",95,"Upright",92,"no","no","no","no"
"Zombi 2","Feature Film","Horror",91,6.9,19539,"Rotten",42,"Upright",70,"no","no","no","no"
"Jaws 2","Feature Film","Action & Adventure",116,5.7,48718,"Rotten",53,"Spilled",38,"no","no","no","no"
"Maniac","Feature Film","Horror",89,6.1,26301,"Rotten",49,"Spilled",44,"no","no","no","no"
"Velvet Goldmine","Feature Film","Musical & Performing Arts",124,7,26943,"Rotten",56,"Upright",80,"no","no","no","no"
"Undertaking Betty","Feature Film","Drama",94,6.7,4077,"Rotten",40,"Upright",66,"no","no","no","no"
"Taking Lives","Feature Film","Drama",103,6.2,63511,"Rotten",22,"Spilled",55,"no","no","no","no"
"The Illusionist (L'illusionniste)","Feature Film","Drama",80,7.5,27601,"Certified Fresh",90,"Upright",79,"no","no","no","no"
"Titanic","Feature Film","Drama",194,7.7,756602,"Certified Fresh",88,"Upright",69,"yes","no","yes","yes"
"The Tillman Story","Documentary","Documentary",94,7.8,3998,"Certified Fresh",93,"Upright",91,"no","no","no","no"
"To The Wonder","Feature Film","Drama",112,6,19898,"Rotten",46,"Spilled",38,"no","no","no","no"
"Snow Angels","Feature Film","Drama",107,6.9,10786,"Fresh",68,"Upright",67,"no","no","no","no"
"Mrs. Dalloway","Feature Film","Drama",97,6.9,2857,"Fresh",71,"Spilled",58,"no","no","no","no"
"F for Fake","Documentary","Documentary",89,7.8,9675,"Certified Fresh",88,"Upright",89,"no","no","no","no"
"Saving Face","Feature Film","Drama",91,7.6,7545,"Certified Fresh",87,"Upright",88,"no","no","no","no"
"The Jerky Boys","Feature Film","Comedy",82,4.5,2113,"Rotten",9,"Spilled",52,"no","no","no","no"
"The Unbelievable Truth","Feature Film","Drama",90,7.5,3448,"Fresh",100,"Upright",89,"no","no","no","no"
"Article 99","Feature Film","Drama",100,6,2441,"Rotten",46,"Spilled",55,"no","yes","no","no"
"Great Balls of Fire","Feature Film","Drama",108,6.2,12402,"Fresh",63,"Spilled",53,"no","no","no","no"
"Condorman","Feature Film","Action & Adventure",90,5.7,3373,"Rotten",25,"Upright",65,"no","no","no","no"
"Man of the House","Feature Film","Comedy",96,4.9,6322,"Rotten",14,"Spilled",33,"no","no","no","no"
"Broken","Feature Film","Documentary",91,7.3,9906,"Fresh",63,"Upright",74,"no","no","no","no"
"The Big Red One","Feature Film","Drama",113,7.2,15025,"Certified Fresh",91,"Upright",78,"no","yes","no","no"
"Mighty Aphrodite","Feature Film","Comedy",95,7.1,30826,"Fresh",77,"Upright",73,"no","no","no","yes"
"Captain Phillips","Feature Film","Drama",134,7.9,309896,"Certified Fresh",93,"Upright",89,"no","yes","no","no"
"Amityville II: The Possession","Feature Film","Horror",104,5.4,7284,"Rotten",7,"Spilled",35,"no","no","no","no"
"The Long Kiss Goodnight","Feature Film","Mystery & Suspense",121,6.7,58907,"Fresh",67,"Upright",70,"no","no","no","no"
"Fool's Gold","Feature Film","Action & Adventure",112,5.6,57251,"Rotten",11,"Spilled",48,"no","yes","no","no"
"Doogal","Feature Film","Animation",85,2.8,3790,"Rotten",8,"Spilled",18,"no","no","no","no"
"Bait","Feature Film","Drama",119,5.7,8818,"Rotten",26,"Spilled",41,"no","yes","no","no"
"Body of Evidence","Feature Film","Mystery & Suspense",99,4.3,11125,"Rotten",6,"Spilled",22,"no","no","yes","no"
"The Hunger Games","Feature Film","Drama",142,7.3,675907,"Certified Fresh",84,"Upright",81,"no","no","yes","no"
"Hell's Kitchen N.Y.C.","Feature Film","Drama",95,4.9,2120,"Rotten",40,"Spilled",35,"no","no","no","no"
"The Lake House","Feature Film","Drama",99,6.8,111132,"Rotten",35,"Upright",73,"no","no","yes","no"
"In the Name of the Father","Feature Film","Drama",133,8.1,103378,"Certified Fresh",94,"Upright",95,"no","yes","yes","no"
"Desperate Measures","Feature Film","Drama",100,6.1,13682,"Rotten",17,"Spilled",37,"no","no","no","no"
"The Invasion","Feature Film","Mystery & Suspense",99,5.9,63672,"Rotten",19,"Spilled",40,"no","no","yes","no"
"Eye of the Needle","Feature Film","Drama",112,7.1,6946,"Fresh",85,"Upright",72,"no","no","no","no"
"Funny Lady","Feature Film","Drama",136,6.4,3584,"Rotten",38,"Spilled",55,"no","no","yes","no"
"Alvin and the Chipmunks","Feature Film","Animation",92,5.3,54363,"Rotten",27,"Upright",65,"no","no","no","no"
"Pina","Documentary","Musical & Performing Arts",103,7.7,11197,"Certified Fresh",95,"Upright",81,"no","no","no","no"
"Capote","Feature Film","Drama",114,7.4,96787,"Certified Fresh",90,"Upright",81,"no","yes","no","no"
"Dead Men Don't Wear Plaid","Feature Film","Mystery & Suspense",88,6.8,16366,"Fresh",77,"Upright",73,"no","no","no","no"
"Tarzan","Feature Film","Drama",88,7.2,134270,"Certified Fresh",88,"Upright",74,"no","no","no","no"
"Cocoon: The Return","Feature Film","Drama",116,5.2,11657,"Rotten",36,"Spilled",35,"no","no","no","no"
"Death Defying Acts","Feature Film","Drama",97,5.9,8345,"Rotten",44,"Spilled",26,"no","no","no","no"
"Half Baked","Feature Film","Comedy",82,6.7,46794,"Rotten",29,"Upright",81,"no","no","no","no"
"Dance of the Dead","Feature Film","Action & Adventure",87,5.9,10087,"Fresh",80,"Spilled",52,"no","no","no","no"
"Around the World in 80 Days","Feature Film","Action & Adventure",120,5.8,66054,"Rotten",31,"Spilled",34,"no","no","no","no"
"LOL","Feature Film","Comedy",97,4.2,43574,"Rotten",17,"Spilled",51,"no","no","no","no"
